case,mode_set,z_type,w_type,residual_before,residual_after,improvement,fe_fraction_after,aux_fraction_after,petrov_condition,regularization,omega,notes
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_AZ_normalized,9.601334814717081e-07,9.601334810677458e-07,1.0000000004207354,0.966003575012074,0.25852870839404307,1.0000000000000004,0.0,0.1,direct dense coarse solve; unit-column-normalized; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_AZ_normalized,9.601334814717081e-07,9.601334813460548e-07,1.0000000001308706,0.9660035775830949,0.2585286987873136,1.0000000000000004,0.0,0.03,direct dense coarse solve; unit-column-normalized; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_AZ_normalized,9.601334814717081e-07,9.601334814293986e-07,1.0000000000440663,0.9660035783177211,0.2585286960423509,1.0000000000000004,0.0,0.01,direct dense coarse solve; unit-column-normalized; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_residual_projected,9.601334814717081e-07,9.602186382776307e-07,0.9999113151916367,0.9660146197199889,0.25848743584020695,1.0,0.0,1.0,direct dense coarse solve; selected auxiliary coordinate basis phased by current residual
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_residual_projected,9.601334814717081e-07,9.601412753183491e-07,0.9999918826043195,0.9660066646387417,0.2585171635956375,1.0,0.0,0.3,direct dense coarse solve; selected auxiliary coordinate basis phased by current residual
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_residual_projected,9.601334814717081e-07,9.601343885453312e-07,0.9999990552638944,0.9660045857418796,0.258524931729339,1.0,0.0,0.1,direct dense coarse solve; selected auxiliary coordinate basis phased by current residual
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_residual_projected,9.601334814717081e-07,9.601335760509547e-07,0.9999999014936578,0.9660038785336338,0.25852757427008966,1.0,0.0,0.03,direct dense coarse solve; selected auxiliary coordinate basis phased by current residual
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_residual_projected,9.601334814717081e-07,9.601334960892714e-07,0.9999999847754887,0.9660036784184969,0.25852832201121295,1.0,0.0,0.01,direct dense coarse solve; selected auxiliary coordinate basis phased by current residual
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_adjoint_diag,9.601334814717081e-07,9.601357611971551e-07,0.9999976256217723,0.966002986193599,0.2585309085294244,1.0000000000000004,0.0,1.0,direct dense coarse solve; left lift p=-diag(A_FE)^-*D_j^H plus selected aux coordinate
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_adjoint_diag,9.601334814717081e-07,9.60133696600963e-07,0.9999997759382305,0.9660033949455383,0.25852938121941615,1.0000000000000004,0.0,0.3,direct dense coarse solve; left lift p=-diag(A_FE)^-*D_j^H plus selected aux coordinate
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_adjoint_diag,9.601334814717081e-07,9.601335085348803e-07,0.9999999718131157,0.9660035168679166,0.25852892565207625,1.0000000000000004,0.0,0.1,direct dense coarse solve; left lift p=-diag(A_FE)^-*D_j^H plus selected aux coordinate
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_adjoint_diag,9.601334814717081e-07,9.601334849027682e-07,0.999999996426476,0.9660035600799908,0.25852876418840454,1.0000000000000004,0.0,0.03,direct dense coarse solve; left lift p=-diag(A_FE)^-*D_j^H plus selected aux coordinate
