auxiliary_index,side,direction,medium,m,n,order_m,order_n,polarization,alpha,gamma,beta,kz,vertical_sign,propagating,power_carrying,rayleigh_warning,refractive_index,auxiliary_amplitude_total_projection,incident_projection,outgoing_amplitude,boundary_phase,outgoing_amplitude_at_boundary,modal_power_code_units,power_ratio,power_source,R,T
532,bottom,outgoing_down,substrate,-5,-4,-5,-4,s,6.2812713880684368e-01+0.0000000000000000e+00j,-1.0053096491487339e+00+0.0000000000000000e+00j,3.9398590936690103e-01+1.7345264588602995e-02j,-3.9398590936690103e-01-1.7345264588602995e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-3.4747699976126188e-15-1.4250174898056735e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,-3.4747699976126188e-15-1.4250174898056735e-14j,-5.8680568506792508e-01-6.0210577117301267e-01j,-6.5410977574422125e-15+1.0454262712453326e-14j,2.979998215598268e-26,2.73199983170883e-27,dtn_port_modal_amplitudes,0.0,2.73199983170883e-27
533,bottom,outgoing_down,substrate,-5,-4,-5,-4,p,6.2812713880684368e-01+0.0000000000000000e+00j,-1.0053096491487339e+00+0.0000000000000000e+00j,3.9398590936690103e-01+1.7345264588602995e-02j,-3.9398590936690103e-01-1.7345264588602995e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-2.3636432540329387e-15+1.1030322871997604e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.3636432540329387e-15+1.1030322871997604e-14j,-5.8680568506792508e-01-6.0210577117301267e-01j,8.0284203580704166e-15-5.0494929251755651e-15j,1.7626499438234972e-26,1.6159604810100853e-27,dtn_port_modal_amplitudes,0.0,1.6159604810100853e-27
534,bottom,outgoing_down,substrate,-5,-3,-5,-3,s,6.2812713880684368e-01+0.0000000000000000e+00j,-7.5398223686155030e-01+0.0000000000000000e+00j,7.7276161933547838e-01+8.8433349575860742e-03j,-7.7276161933547838e-01-8.8433349575860742e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,2.3396707768231982e-16+2.3746844325541096e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,2.3396707768231982e-16+2.3746844325541096e-16j,1.1536279400881609e-01+9.0806546816903833e-01j,-1.8864579731258734e-16+2.3985244703460569e-16j,3.578837911347593e-29,3.281003498705748e-30,dtn_port_modal_amplitudes,0.0,3.281003498705748e-30
535,bottom,outgoing_down,substrate,-5,-3,-5,-3,p,6.2812713880684368e-01+0.0000000000000000e+00j,-7.5398223686155030e-01+0.0000000000000000e+00j,7.7276161933547838e-01+8.8433349575860742e-03j,-7.7276161933547838e-01-8.8433349575860742e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,1.1131714503389998e-15+5.9588983368551002e-17j,0.0000000000000000e+00+0.0000000000000000e+00j,1.1131714503389998e-15+5.9588983368551002e-17j,1.1536279400881609e-01+9.0806546816903833e-01j,7.4307870641672792e-17+1.0177069058180321e-15j,4.0019374554214074e-28,3.6688922823819767e-29,dtn_port_modal_amplitudes,0.0,3.6688922823819767e-29
536,bottom,outgoing_down,substrate,-5,-2,-5,-2,s,6.2812713880684368e-01+0.0000000000000000e+00j,-5.0265482457436694e-01+0.0000000000000000e+00j,9.5548982704104546e-01+7.1521324965992499e-03j,-9.5548982704104546e-01-7.1521324965992499e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,6.8691052145289873e-17+3.2807727159105129e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,6.8691052145289873e-17+3.2807727159105129e-15j,-9.2310621991506703e-01-1.2079739002076020e-01j,3.3289964384548364e-16-3.0367994000015723e-15j,4.435230749111201e-27,4.066126481800257e-28,dtn_port_modal_amplitudes,0.0,4.066126481800257e-28
537,bottom,outgoing_down,substrate,-5,-2,-5,-2,p,6.2812713880684368e-01+0.0000000000000000e+00j,-5.0265482457436694e-01+0.0000000000000000e+00j,9.5548982704104546e-01+7.1521324965992499e-03j,-9.5548982704104546e-01-7.1521324965992499e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,1.9234531882767929e-14-2.2185286218333747e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,1.9234531882767929e-14-2.2185286218333747e-15j,-9.2310621991506703e-01-1.2079739002076020e-01j,-1.8023508485341565e-14-2.7554367983547504e-16j,1.5441034185776791e-25,1.415601612650073e-26,dtn_port_modal_amplitudes,0.0,1.415601612650073e-26
538,bottom,outgoing_down,substrate,-5,-1,-5,-1,s,6.2812713880684368e-01+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,1.0499754387408544e+00+6.5085235235077853e-03j,-1.0499754387408544e+00-6.5085235235077853e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,6.9183465985226547e-16-9.5328272931258136e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,6.9183465985226547e-16-9.5328272931258136e-16j,-4.4577463896848379e-01-8.2415455200478627e-01j,-1.0940546464320378e-15-1.4522941965772075e-16j,6.36082422818924e-28,5.831470176720784e-29,dtn_port_modal_amplitudes,0.0,5.831470176720784e-29
539,bottom,outgoing_down,substrate,-5,-1,-5,-1,p,6.2812713880684368e-01+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,1.0499754387408544e+00+6.5085235235077853e-03j,-1.0499754387408544e+00-6.5085235235077853e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-1.9002754761739197e-13+6.7612909410308692e-13j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.9002754761739197e-13+6.7612909410308692e-13j,-4.4577463896848379e-01-8.2415455200478627e-01j,6.4194433208114089e-13-1.4478913444471169e-13j,2.2614853237789136e-22,2.07328228978003e-23,dtn_port_modal_amplitudes,0.0,2.07328228978003e-23
540,bottom,outgoing_down,substrate,-5,0,-5,0,s,6.2812713880684368e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,1.0796349358176478e+00+6.3297227752034295e-03j,-1.0796349358176478e+00-6.3297227752034295e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-1.4988577076757722e-04-7.9314240404858760e-05j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.4988577076757722e-04-7.9314240404858760e-05j,-1.8577075018918585e-01-9.2009790245382039e-01j,-4.5132474153051431e-05+1.5264384923161802e-04j,1.3605162392952261e-05,1.2472927390815476e-06,dtn_port_modal_amplitudes,0.0,1.2472927390815476e-06
541,bottom,outgoing_down,substrate,-5,0,-5,0,p,6.2812713880684368e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,1.0796349358176478e+00+6.3297227752034295e-03j,-1.0796349358176478e+00-6.3297227752034295e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-1.9052628867180067e-13-5.8807626000638379e-13j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.9052628867180067e-13-5.8807626000638379e-13j,-1.8577075018918585e-01-9.2009790245382039e-01j,-5.0569352173743947e-13+2.8455020655907151e-13j,1.807937602756074e-22,1.6574792564021863e-23,dtn_port_modal_amplitudes,0.0,1.6574792564021863e-23
542,bottom,outgoing_down,substrate,-5,1,-5,1,s,6.2812713880684368e-01+0.0000000000000000e+00j,2.5132741228718347e-01+0.0000000000000000e+00j,1.0499754387408544e+00+6.5085235235077853e-03j,-1.0499754387408544e+00-6.5085235235077853e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,1.7964918364091649e-15+8.8458517398311526e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,1.7964918364091649e-15+8.8458517398311526e-15j,-4.4577463896848379e-01-8.2415455200478627e-01j,6.4895184779561798e-15-5.4238432903080182e-15j,3.7355040593042866e-26,3.4246317356663634e-27,dtn_port_modal_amplitudes,0.0,3.4246317356663634e-27
543,bottom,outgoing_down,substrate,-5,1,-5,1,p,6.2812713880684368e-01+0.0000000000000000e+00j,2.5132741228718347e-01+0.0000000000000000e+00j,1.0499754387408544e+00+6.5085235235077853e-03j,-1.0499754387408544e+00-6.5085235235077853e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-1.4855130686385140e-13-1.1191908091716021e-13j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.4855130686385140e-13-1.1191908091716021e-13j,-4.4577463896848379e-01-8.2415455200478627e-01j,-2.6018214808539797e-14+1.7231992364763460e-13j,1.5860244075839846e-23,1.4540338957000484e-24,dtn_port_modal_amplitudes,0.0,1.4540338957000484e-24
544,bottom,outgoing_down,substrate,-5,2,-5,2,s,6.2812713880684368e-01+0.0000000000000000e+00j,5.0265482457436694e-01+0.0000000000000000e+00j,9.5548982704104546e-01+7.1521324965992499e-03j,-9.5548982704104546e-01-7.1521324965992499e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-6.0669738593500048e-15-1.8386336981356458e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-6.0669738593500048e-15-1.8386336981356458e-15j,-9.2310621991506703e-01-1.2079739002076020e-01j,5.3783591536891043e-15+2.4301288104281157e-15j,1.6553050467530408e-26,1.5175489319037003e-27,dtn_port_modal_amplitudes,0.0,1.5175489319037003e-27
545,bottom,outgoing_down,substrate,-5,2,-5,2,p,6.2812713880684368e-01+0.0000000000000000e+00j,5.0265482457436694e-01+0.0000000000000000e+00j,9.5548982704104546e-01+7.1521324965992499e-03j,-9.5548982704104546e-01-7.1521324965992499e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-2.4944542534031789e-14-3.5524553491929900e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.4944542534031789e-14-3.5524553491929900e-15j,-9.2310621991506703e-01-1.2079739002076020e-01j,2.2597335031752888e-14+6.2925292621834801e-15j,2.61483812144426e-25,2.3972287199163192e-26,dtn_port_modal_amplitudes,0.0,2.3972287199163192e-26
546,bottom,outgoing_down,substrate,-5,3,-5,3,s,6.2812713880684368e-01+0.0000000000000000e+00j,7.5398223686155030e-01+0.0000000000000000e+00j,7.7276161933547838e-01+8.8433349575860742e-03j,-7.7276161933547838e-01-8.8433349575860742e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,7.9435865012542632e-16+1.0608193609655929e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,7.9435865012542632e-16+1.0608193609655929e-16j,1.1536279400881609e-01+9.0806546816903833e-01j,-4.6899096422593446e-18+7.3356756806223433e-16j,2.0683007671375916e-28,1.8961747420404824e-29,dtn_port_modal_amplitudes,0.0,1.8961747420404824e-29
547,bottom,outgoing_down,substrate,-5,3,-5,3,p,6.2812713880684368e-01+0.0000000000000000e+00j,7.5398223686155030e-01+0.0000000000000000e+00j,7.7276161933547838e-01+8.8433349575860742e-03j,-7.7276161933547838e-01-8.8433349575860742e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-3.2253383713382461e-15-9.9496921723654966e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,-3.2253383713382461e-15-9.9496921723654966e-16j,1.1536279400881609e-01+9.0806546816903833e-01j,5.3141314192226462e-16-3.0436008270260013e-15j,3.668874423073906e-27,3.363547083328182e-28,dtn_port_modal_amplitudes,0.0,3.363547083328182e-28
548,bottom,outgoing_down,substrate,-5,4,-5,4,s,6.2812713880684368e-01+0.0000000000000000e+00j,1.0053096491487339e+00+0.0000000000000000e+00j,3.9398590936690103e-01+1.7345264588602995e-02j,-3.9398590936690103e-01-1.7345264588602995e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-1.2253300524295935e-14+3.8705311855431504e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.2253300524295935e-14+3.8705311855431504e-16j,-5.8680568506792508e-01-6.0210577117301267e-01j,7.4233533249347072e-15+7.1506579912049421e-15j,2.0817619867377502e-26,1.9085157056993637e-27,dtn_port_modal_amplitudes,0.0,1.9085157056993637e-27
549,bottom,outgoing_down,substrate,-5,4,-5,4,p,6.2812713880684368e-01+0.0000000000000000e+00j,1.0053096491487339e+00+0.0000000000000000e+00j,3.9398590936690103e-01+1.7345264588602995e-02j,-3.9398590936690103e-01-1.7345264588602995e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-2.7392243836129616e-15-2.6665747959020831e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.7392243836129616e-15-2.6665747959020831e-15j,-5.8680568506792508e-01-6.0210577117301267e-01j,1.8323671036260307e-18+3.2140640598053869e-15j,2.02423085894156e-27,1.8557723749703364e-28,dtn_port_modal_amplitudes,0.0,1.8557723749703364e-28
