auxiliary_index,side,direction,medium,m,n,order_m,order_n,polarization,alpha,gamma,beta,kz,vertical_sign,propagating,rayleigh_warning,refractive_index,auxiliary_amplitude_total_projection,incident_projection,outgoing_amplitude,boundary_phase,outgoing_amplitude_at_boundary,modal_power_code_units,power_ratio,power_source,R,T
411,bottom,outgoing_down,substrate,-4,-3,-4,-3,p,-2.5132741228718347e-01+0.0000000000000000e+00j,-1.8849555921538758e-01+0.0000000000000000e+00j,3.4276723208213411e-01+1.1531281100035141e-03j,-3.4276723208213411e-01-1.1531281100035141e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,7.1042249405231400e-07+9.2094034613636931e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,7.1042249405231400e-07+9.2094034613636931e-07j,-9.4835845410302377e-01-2.7895804079833547e-01j,-4.1683146356912463e-07-1.0715596300628915e-06j,4.8680035066950704e-09,9.736007013390142e-13,dtn_port_modal_amplitudes,0.0,9.736007013390142e-13
412,bottom,outgoing_down,substrate,-4,-2,-4,-2,s,-2.5132741228718347e-01+0.0000000000000000e+00j,-1.2566370614359174e-01+0.0000000000000000e+00j,3.7044350841378160e-01+1.0669765336001297e-03j,-3.7044350841378160e-01-1.0669765336001297e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,-8.3225572121109115e-07+1.1127590715854214e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,-8.3225572121109115e-07+1.1127590715854214e-06j,-8.3676593415347811e-01-5.2792927326769790e-01j,1.2838613239979049e-06-4.9174672595107705e-07j,7.522012702995365e-09,1.5044025405990733e-12,dtn_port_modal_amplitudes,0.0,1.5044025405990733e-12
413,bottom,outgoing_down,substrate,-4,-2,-4,-2,p,-2.5132741228718347e-01+0.0000000000000000e+00j,-1.2566370614359174e-01+0.0000000000000000e+00j,3.7044350841378160e-01+1.0669765336001297e-03j,-3.7044350841378160e-01-1.0669765336001297e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,-3.0925930846666304e-07+4.7158896328337900e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,-3.0925930846666304e-07+4.7158896328337900e-07j,-8.3676593415347811e-01-5.2792927326769790e-01j,5.0774327281202728e-07-2.3134253742821070e-07j,1.2389578820541656e-09,2.4779157641083317e-13,dtn_port_modal_amplitudes,0.0,2.4779157641083317e-13
414,bottom,outgoing_down,substrate,-4,-1,-4,-1,s,-2.5132741228718347e-01+0.0000000000000000e+00j,-6.2831853071795868e-02+0.0000000000000000e+00j,3.8609820999417283e-01+1.0237150037757817e-03j,-3.8609820999417283e-01-1.0237150037757817e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,2.6866768899926353e-06-8.6217639466199032e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,2.6866768899926353e-06-8.6217639466199032e-06j,-7.4454699198637742e-01-6.5221442176757782e-01j,-7.6235959839445820e-06+4.6670189977895861e-06j,3.314133548488646e-07,6.628267096977293e-11,dtn_port_modal_amplitudes,0.0,6.628267096977293e-11
415,bottom,outgoing_down,substrate,-4,-1,-4,-1,p,-2.5132741228718347e-01+0.0000000000000000e+00j,-6.2831853071795868e-02+0.0000000000000000e+00j,3.8609820999417283e-01+1.0237150037757817e-03j,-3.8609820999417283e-01-1.0237150037757817e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,5.1691695609635960e-07-1.8205448699233991e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,5.1691695609635960e-07-1.8205448699233991e-06j,-7.4454699198637742e-01-6.5221442176757782e-01j,-1.5722545844073188e-06+1.0183405130554539e-06j,1.4554768205180625e-08,2.9109536410361255e-12,dtn_port_modal_amplitudes,0.0,2.9109536410361255e-12
416,bottom,outgoing_down,substrate,-4,0,-4,0,s,-2.5132741228718347e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,3.9117725200165521e-01+1.0104230971496643e-03j,-3.9117725200165521e-01-1.0104230971496643e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,-4.2739889697184095e-06+1.2775418169285336e-05j,0.0000000000000000e+00+0.0000000000000000e+00j,-4.2739889697184095e-06+1.2775418169285336e-05j,-7.1056929492639742e-01-6.8926456284293680e-01j,1.1842608348324179e-05-6.1319107421304752e-06j,7.473873683315299e-07,1.4947747366630602e-10,dtn_port_modal_amplitudes,0.0,1.4947747366630602e-10
417,bottom,outgoing_down,substrate,-4,0,-4,0,p,-2.5132741228718347e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,3.9117725200165521e-01+1.0104230971496643e-03j,-3.9117725200165521e-01-1.0104230971496643e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,1.0357215059756698e-15+1.8756579887725421e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,1.0357215059756698e-15+1.8756579887725421e-15j,-7.1056929492639742e-01-6.8926456284293680e-01j,5.5687268343293010e-16-2.0466711056485182e-15j,1.8906475396648473e-26,3.781295079329695e-30,dtn_port_modal_amplitudes,0.0,3.781295079329695e-30
418,bottom,outgoing_down,substrate,-4,1,-4,1,s,-2.5132741228718347e-01+0.0000000000000000e+00j,6.2831853071795868e-02+0.0000000000000000e+00j,3.8609820999417283e-01+1.0237150037757817e-03j,-3.8609820999417283e-01-1.0237150037757817e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,2.6866768911522243e-06-8.6217639554315040e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,2.6866768911522243e-06-8.6217639554315040e-06j,-7.4454699198637742e-01-6.5221442176757782e-01j,-7.6235959905550033e-06+4.6670190035939361e-06j,3.3141335549164817e-07,6.628267109832965e-11,dtn_port_modal_amplitudes,0.0,6.628267109832965e-11
419,bottom,outgoing_down,substrate,-4,1,-4,1,p,-2.5132741228718347e-01+0.0000000000000000e+00j,6.2831853071795868e-02+0.0000000000000000e+00j,3.8609820999417283e-01+1.0237150037757817e-03j,-3.8609820999417283e-01-1.0237150037757817e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,-5.1691695752062697e-07+1.8205448703556155e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,-5.1691695752062697e-07+1.8205448703556155e-06j,-7.4454699198637742e-01-6.5221442176757782e-01j,1.5722545857496505e-06-1.0183405124483316e-06j,1.4554768217559679e-08,2.910953643511936e-12,dtn_port_modal_amplitudes,0.0,2.910953643511936e-12
420,bottom,outgoing_down,substrate,-4,2,-4,2,s,-2.5132741228718347e-01+0.0000000000000000e+00j,1.2566370614359174e-01+0.0000000000000000e+00j,3.7044350841378160e-01+1.0669765336001297e-03j,-3.7044350841378160e-01-1.0669765336001297e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,-8.3225572518065367e-07+1.1127590708412603e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,-8.3225572518065367e-07+1.1127590708412603e-06j,-8.3676593415347811e-01-5.2792927326769790e-01j,1.2838613269266352e-06-4.9174672323274016e-07j,7.522012722283583e-09,1.5044025444567168e-12,dtn_port_modal_amplitudes,0.0,1.5044025444567168e-12
421,bottom,outgoing_down,substrate,-4,2,-4,2,p,-2.5132741228718347e-01+0.0000000000000000e+00j,1.2566370614359174e-01+0.0000000000000000e+00j,3.7044350841378160e-01+1.0669765336001297e-03j,-3.7044350841378160e-01-1.0669765336001297e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,3.0925930989164055e-07-4.7158896481443161e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,3.0925930989164055e-07-4.7158896481443161e-07j,-8.3676593415347811e-01-5.2792927326769790e-01j,-5.0774327481268733e-07+2.3134253795705604e-07j,1.2389578911131923e-09,2.477915782226385e-13,dtn_port_modal_amplitudes,0.0,2.477915782226385e-13
422,bottom,outgoing_down,substrate,-4,3,-4,3,s,-2.5132741228718347e-01+0.0000000000000000e+00j,1.8849555921538758e-01+0.0000000000000000e+00j,3.4276723208213411e-01+1.1531281100035141e-03j,-3.4276723208213411e-01-1.1531281100035141e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,1.2530497482541028e-06+1.7319671839865358e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,1.2530497482541028e-06+1.7319671839865358e-06j,-9.4835845410302377e-01-2.7895804079833547e-01j,-7.0519414979654978e-07-1.9920740239584507e-06j,1.644404411274094e-08,3.2888088225481887e-12,dtn_port_modal_amplitudes,0.0,3.2888088225481887e-12
423,bottom,outgoing_down,substrate,-4,3,-4,3,p,-2.5132741228718347e-01+0.0000000000000000e+00j,1.8849555921538758e-01+0.0000000000000000e+00j,3.4276723208213411e-01+1.1531281100035141e-03j,-3.4276723208213411e-01-1.1531281100035141e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,-7.1042249070427821e-07-9.2094034517528168e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,-7.1042249070427821e-07-9.2094034517528168e-07j,-9.4835845410302377e-01-2.7895804079833547e-01j,4.1683146066208967e-07+1.0715596282174744e-06j,4.868003483207536e-09,9.736006966415074e-13,dtn_port_modal_amplitudes,0.0,9.736006966415074e-13
424,bottom,outgoing_down,substrate,-4,4,-4,4,s,-2.5132741228718347e-01+0.0000000000000000e+00j,2.5132741228718347e-01+0.0000000000000000e+00j,2.9975805579007508e-01+1.3185785097926098e-03j,-2.9975805579007508e-01-1.3185785097926098e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,-9.2187916140000233e-07+2.1356256385975730e-08j,0.0000000000000000e+00+0.0000000000000000e+00j,-9.2187916140000233e-07+2.1356256385975730e-08j,-9.7668453528683474e-01+1.4163488804806326e-01j,8.9736032936022475e-07-1.5142857716253498e-07j,2.666998332197657e-09,5.333996664395315e-13,dtn_port_modal_amplitudes,0.0,5.333996664395315e-13
425,bottom,outgoing_down,substrate,-4,4,-4,4,p,-2.5132741228718347e-01+0.0000000000000000e+00j,2.5132741228718347e-01+0.0000000000000000e+00j,2.9975805579007508e-01+1.3185785097926098e-03j,-2.9975805579007508e-01-1.3185785097926098e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,5.5854749384279338e-07-5.2237634479434975e-09j,0.0000000000000000e+00+0.0000000000000000e+00j,5.5854749384279338e-07-5.2237634479434975e-09j,-9.7668453528683474e-01+1.4163488804806326e-01j,-5.4478483230833576e-07+8.4211780735553402e-08j,9.785881227417517e-10,1.9571762454835036e-13,dtn_port_modal_amplitudes,0.0,1.9571762454835036e-13
426,bottom,outgoing_down,substrate,-4,5,-4,5,s,-2.5132741228718347e-01+0.0000000000000000e+00j,3.1415926535897931e-01+0.0000000000000000e+00j,2.3307821275853755e-01+1.6958021336446394e-03j,-2.3307821275853755e-01-1.6958021336446394e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,-4.6956337593585334e-07-1.3596257185614693e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,-4.6956337593585334e-07-1.3596257185614693e-07j,-6.7732708197908964e-01+7.1265747931378742e-01j,4.1494273496690320e-07-2.4254671981882132e-07j,5.784283452113933e-10,1.1568566904227868e-13,dtn_port_modal_amplitudes,0.0,1.1568566904227868e-13
427,bottom,outgoing_down,substrate,-4,5,-4,5,p,-2.5132741228718347e-01+0.0000000000000000e+00j,3.1415926535897931e-01+0.0000000000000000e+00j,2.3307821275853755e-01+1.6958021336446394e-03j,-2.3307821275853755e-01-1.6958021336446394e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,2.1618902228204186e-07+8.5418474904474940e-08j,0.0000000000000000e+00+0.0000000000000000e+00j,2.1618902228204186e-07+8.5418474904474940e-08j,-6.7732708197908964e-01+7.1265747931378742e-01j,-2.0730479463045894e-07+9.6212477320680081e-08j,1.307865928524856e-10,2.6157318570497128e-14,dtn_port_modal_amplitudes,0.0,2.6157318570497128e-14
428,bottom,outgoing_down,substrate,-4,6,-4,6,s,-2.5132741228718347e-01+0.0000000000000000e+00j,3.7699111843077515e-01+0.0000000000000000e+00j,1.0445399395798326e-01+3.7840059104010783e-03j,-1.0445399395798326e-01-3.7840059104010783e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,1.1349253991425280e-08-6.1125076969017703e-09j,0.0000000000000000e+00+0.0000000000000000e+00j,1.1349253991425280e-08-6.1125076969017703e-09j,4.8364785763862383e-01+8.3258481574728171e-01j,1.0578223473328240e-08+6.4929152909137784e-09j,1.7287401445371513e-13,3.457480289074303e-17,dtn_port_modal_amplitudes,0.0,3.457480289074303e-17
429,bottom,outgoing_down,substrate,-4,6,-4,6,p,-2.5132741228718347e-01+0.0000000000000000e+00j,3.7699111843077515e-01+0.0000000000000000e+00j,1.0445399395798326e-01+3.7840059104010783e-03j,-1.0445399395798326e-01-3.7840059104010783e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,-1.2509667471251871e-08+5.9710482974356035e-09j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.2509667471251871e-08+5.9710482974356035e-09j,4.8364785763862383e-01+8.3258481574728171e-01j,-1.1021678018781090e-08-7.5274744697005206e-09j,1.9989918918723446e-13,3.99798378374469e-17,dtn_port_modal_amplitudes,0.0,3.99798378374469e-17
