case_id,case_role,grazing_deg,incident_polarization,side,physical_port,m,n,channel_polarization,co_or_cross_polarization,analyzer_comparison_significance,reference_propagating,hybrid_propagating,reference_power_carrying,hybrid_power_carrying,reference_beta_real_per_nm,reference_beta_imag_per_nm,reference_rayleigh_warning,full3d_amplitude_real,full3d_amplitude_imag,full3d_amplitude_magnitude,full3d_amplitude_phase_rad,hybrid_m120_amplitude_real,hybrid_m120_amplitude_imag,hybrid_m120_amplitude_magnitude,hybrid_m120_amplitude_phase_rad,complex_amplitude_absolute_error,complex_amplitude_relative_error,complex_amplitude_pass,full3d_power_ratio,hybrid_m120_power_ratio,power_absolute_error,power_relative_error,power_pass,channel_pass
D005-S,historical_success_control,10,s,bottom,T,-6,-1,p,cross,weak,true,true,true,,0.25616944465441399,0.0015429417471518755,false,-3.2126475622160439e-15,-1.7981295621605966e-14,1.8266036696300556e-14,-1.7475969056934961,1.7346928684974791e-14,4.1625902202610468e-14,4.5095805447767449e-14,1.1759478365765765,6.3053264847423452e-14,1.3982068669436531,true,1.0575469291881586e-27,6.445895986248069e-27,5.3883490570599104e-27,0.83593484421027409,true,true
D005-S,historical_success_control,10,s,bottom,T,-6,0,s,co,weak,true,true,true,,0.35886917522939116,0.0011013889121275415,false,8.628196335266517e-06,-4.2444258422947418e-05,4.3312363651431553e-05,-1.3702460349737866,8.6281963588409449e-06,-4.2444258414482482e-05,4.331236364783251e-05,-1.370246034401474,2.5048129337059471e-14,5.783136089879866e-10,true,8.3299730487437572e-09,8.3299730473593943e-09,1.3843628557238467e-18,1.6619055639473197e-10,true,true
D005-S,historical_success_control,10,s,bottom,T,-6,0,p,cross,weak,true,true,true,,0.35886917522939116,0.0011013889121275415,false,2.6503068694210279e-14,4.2487333591951545e-15,2.6841467645558554e-14,0.15895848142234573,1.6139827692373495e-15,-2.1674140075979722e-14,2.1734150280436208e-14,-1.496467685098771,3.5936916469235099e-14,1.3388581035799496,true,3.1991333552888256e-27,2.0975153995116544e-27,1.1016179557771712e-27,0.34434886997004049,true,true
D005-S,historical_success_control,10,s,bottom,T,-6,1,s,co,weak,true,true,true,,0.25616944465441399,0.0015429417471518755,false,3.3018743673220346e-14,2.3965606520811239e-14,4.0799359427179479e-14,0.62784431677191255,7.3399264210364491e-14,-5.9511518673246948e-14,9.4493771442456007e-14,-0.68128673138857021,9.2730884119128212e-14,0.98134387805230805,true,5.2761567048138696e-27,2.8302015388168272e-26,2.3025858683354403e-26,0.81357664348456327,true,true
D005-S,historical_success_control,10,s,bottom,T,-6,1,p,cross,weak,true,true,true,,0.25616944465441399,0.0015429417471518755,false,-6.4696235042042213e-15,5.707084919435101e-15,8.6270995452582598e-15,2.4187355403234196,-1.2717019507288496e-14,6.4846729517166151e-14,6.6081925775670793e-14,1.7644476409489966,5.9468710427966182e-14,0.89992399177114513,true,2.3590688463983823e-28,1.3841283961574545e-26,1.3605377076934708e-26,0.98295628604291707,true,true
D005-S,historical_success_control,10,s,bottom,T,-5,-1,s,co,weak,true,true,true,,0.35232186220863754,0.0011218563844554892,false,-1.5808435708694931e-14,3.017537688895418e-14,3.4065525241017067e-14,2.0533690640512066,-2.9668097475143542e-14,-3.5188928567095056e-14,4.6026695530906162e-14,-2.2712761002868747,6.6817532519781551e-14,1.4517125713470933,true,5.058869098886453e-27,9.2351266331150151e-27,4.176257534228562e-27,0.45221443085073404,true,true
D005-S,historical_success_control,10,s,bottom,T,-5,-1,p,cross,weak,true,true,true,,0.35232186220863754,0.0011218563844554892,false,3.0279831095445565e-14,-2.3386393525034388e-15,3.0370008317249273e-14,-0.077081203818983271,1.5031796511987958e-14,5.4009832223403358e-14,5.6062615736139115e-14,1.2993499461491611,5.8375104347650595e-14,1.0412483181732957,true,4.0208056786699378e-27,1.3701558736455174e-26,9.6807530577852354e-27,0.70654392277486311,true,true
D005-S,historical_success_control,10,s,bottom,T,-5,0,s,co,significant,true,true,true,,0.43277677653747604,0.00091329884580297106,false,0.00013403269660079581,0.00014700578426489472,0.00019893582976783682,0.83152666783446472,0.00013403269655063596,0.00014700578431834261,0.00019893582977353758,0.83152666820180232,7.3298619884682757e-14,3.6845358610424098e-10,true,2.1192082567895203e-07,2.1192082569109776e-07,1.2145737779577421e-17,5.7312620125788949e-11,true,true
D005-S,historical_success_control,10,s,bottom,T,-5,0,p,cross,weak,true,true,true,,0.43277677653747604,0.00091329884580297106,false,-1.0033446348135069e-14,-3.3751135681914767e-15,1.0585907482077063e-14,-2.8170969794579879,3.6589398528996788e-14,2.7546538345065965e-14,4.579951811438568e-14,0.64532627221217187,5.5944957069263695e-14,1.2215184650969355,true,6.0007261274216535e-28,1.1232319155717526e-26,1.063224654297536e-26,0.94657624979996102,true,true
D005-S,historical_success_control,10,s,bottom,T,-5,1,s,co,weak,true,true,true,,0.35232186220863754,0.0011218563844554892,false,1.9138618484506204e-14,2.9610226269082294e-14,3.5256945659000775e-14,0.99699013139677672,2.5686749902459703e-14,-4.4159723490201534e-14,5.10870854451746e-14,-1.043957661913187,7.4059999409627658e-14,1.4496814363995578,true,5.4189187012094911e-27,1.137746520634888e-26,5.9585465051393891e-27,0.52371476397171368,true,true
