"case","profile","mode_id","port","diffraction_order_m","diffraction_order_n","polarization","is_propagating","is_near_cutoff","residual_norm","relative_to_total_residual","relative_to_aux_residual","notes"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","165","top","0","-6","p","True","False","1.955503612000149e-05","9.786790985362776e-06","9.795982241332902e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","163","top","0","-7","p","True","False","1.5657465046314347e-05","7.83615723481928e-06","7.843516554853304e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","191","top","0","7","p","True","False","1.489217739784915e-05","7.453150514031484e-06","7.4601501336474335e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","167","top","0","-5","p","True","False","1.4813212655689917e-05","7.413630698164971e-06","7.4205932027813196e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","321","top","5","3","p","True","False","1.3917294814152451e-05","6.965246936489573e-06","6.971788341898574e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","177","top","0","0","y","True","False","1.9962302519401782","0.9990617309274042","0.9999999988553334","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","344","top","7","-2","s","True","False","2.3697089404424406e-05","1.1859781773828749e-05","1.1870919877237326e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","0","top","-7","-2","s","True","False","2.361954382349098e-05","1.1820972211536112e-05","1.1832073866979093e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","352","top","7","2","s","True","False","2.3532573507536963e-05","1.1777445812558903e-05","1.1788506590223351e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","8","top","-7","2","s","True","False","2.3421316806454597e-05","1.1721764704504062e-05","1.1732773189305855e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","189","top","0","6","p","True","False","1.9665164732164937e-05","9.841907514022588e-06","9.851150532631139e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","165","top","0","-6","p","True","False","1.955503612000149e-05","9.786790985362776e-06","9.795982241332902e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","163","top","0","-7","p","True","False","1.5657465046314347e-05","7.83615723481928e-06","7.843516554853304e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","191","top","0","7","p","True","False","1.489217739784915e-05","7.453150514031484e-06","7.4601501336474335e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","167","top","0","-5","p","True","False","1.4813212655689917e-05","7.413630698164971e-06","7.4205932027813196e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","321","top","5","3","p","True","False","1.3917294814152451e-05","6.965246936489573e-06","6.971788341898574e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","182","top","0","3","s","True","False","1.3581295333613924e-05","6.7970878665169225e-06","6.803471345486284e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","187","top","0","5","p","True","False","1.322464718776738e-05","6.61859467237001e-06","6.624810519616289e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","170","top","0","-3","s","True","False","1.2984725643645525e-05","6.49852013040563e-06","6.504623209753592e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","299","top","4","4","p","True","False","1.2245357649300946e-05","6.128485527681679e-06","6.134241089364603e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","185","top","0","4","p","True","False","1.2062375530966335e-05","6.036907699074752e-06","6.042577255522132e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","275","top","3","5","p","True","False","1.1868124682827928e-05","5.939690161976186e-06","5.945268416660854e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","222","top","2","-7","s","True","False","1.165502464261964e-05","5.8330390906259404e-06","5.83851718405267e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","186","top","0","5","s","True","False","1.141235185056408e-05","5.711587620063175e-06","5.716951652450331e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","166","top","0","-5","s","True","False","1.0922288683593149e-05","5.466323650447502e-06","5.47145734339772e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","323","top","5","4","p","True","False","1.0561321709206532e-05","5.28566899405813e-06","5.29063302534994e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","169","top","0","-4","p","True","False","1.0189213424866491e-05","5.099438399524324e-06","5.1042275325204235e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","33","top","-5","-3","p","True","False","9.969193333866183e-06","4.989324021315733e-06","4.994009740492366e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","301","top","4","5","p","True","False","9.586657208862389e-06","4.797874561606811e-06","4.802380481195187e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","45","top","-5","3","p","True","False","9.503409264388262e-06","4.756211113504251e-06","4.760677904902735e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","17","top","-6","-1","p","True","False","9.133976074549183e-06","4.571319334740784e-06","4.575612485191186e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","255","top","3","-5","p","True","False","9.095592367280584e-06","4.552109279695327e-06","4.556384389039773e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","10","top","-6","-4","s","True","False","8.761919161917543e-06","4.385114450421452e-06","4.389232726721866e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","130","top","-2","7","s","True","False","8.655102112114694e-06","4.331655273272487e-06","4.335723343434662e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","342","top","6","4","s","True","False","8.652929884761711e-06","4.330568129533868e-06","4.334635178705977e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","337","top","6","1","p","True","False","8.56712523080823e-06","4.28762511430951e-06","4.291651833587412e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","21","top","-6","1","p","True","False","8.361159535391796e-06","4.1845445984349435e-06","4.188474509738878e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","31","top","-5","-4","p","True","False","8.160337876192946e-06","4.084038539952002e-06","4.087874061081318e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","47","top","-5","4","p","True","False","7.71124000116025e-06","3.859276641894447e-06","3.86290107808893e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","343","top","6","4","p","True","False","7.453950997813454e-06","3.7305101347330586e-06","3.73401363997791e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","302","top","4","6","s","True","False","7.421611114458609e-06","3.7143248576032886e-06","3.71781316245965e-06","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_exact","339","top","6","2","p","True","False","7.413611718066018e-06","3.71032136612299e-06","3.713805911103921e-06","auxiliary residual is one scalar complex residual per DtN mode"
