p,h_nm,mpi_ranks,solver_profile,side,order_m,order_n,polarization,power,amplitude_real,amplitude_imag,is_propagating
1,5.0,8,default,reflection,0,3,s,9.802075412205952e-30,2.8147934394309208e-15,-1.672601185152072e-15,True
1,5.0,8,default,reflection,0,3,p,4.3328723997612944e-08,2.5466878342797668e-05,-0.00021619580181283165,True
1,5.0,8,default,reflection,0,4,s,3.9157095707070336e-29,-2.9471723574556515e-15,6.151223320372873e-15,True
1,5.0,8,default,reflection,0,4,p,3.981898763757952e-12,2.128109879434231e-06,4.495847470823205e-07,True
1,5.0,8,default,reflection,0,5,s,1.1586047881131387e-29,-3.956426966093622e-15,-2.231947694467355e-16,True
1,5.0,8,default,reflection,0,5,p,5.098950304470183e-10,1.585947134562981e-05,2.0965746560893126e-05,True
1,5.0,8,default,reflection,0,6,s,1.1801399213080382e-28,5.78852599349668e-15,-1.2951231821205441e-14,True
1,5.0,8,default,reflection,0,6,p,8.212263945428626e-13,7.413194950807243e-08,1.1810535102795557e-06,True
1,5.0,8,default,reflection,0,7,s,1.417234872174588e-29,-5.7506633765739665e-15,3.2032900794579733e-15,True
1,5.0,8,default,reflection,0,7,p,2.0618572600825913e-11,6.838799246601168e-06,4.033733440940036e-06,True
1,5.0,8,default,reflection,1,-7,s,4.576025242923886e-13,1.1263229514802862e-06,-5.171485671946296e-07,True
1,5.0,8,default,reflection,1,-7,p,7.184428614246452e-12,1.4102987991464893e-06,4.7039570097399625e-06,True
1,5.0,8,default,reflection,1,-6,s,2.389755822546062e-16,2.0452862071279877e-08,-6.608313307440903e-10,True
1,5.0,8,default,reflection,1,-6,p,2.2408244466336962e-13,1.9338334310979104e-07,5.960385414839518e-07,True
1,5.0,8,default,reflection,1,-5,s,3.6345157265085736e-11,1.4163189153037015e-06,6.935436182970945e-06,True
1,5.0,8,default,reflection,1,-5,p,3.295292944218222e-10,6.358748788628524e-06,2.0343614651973492e-05,True
1,5.0,8,default,reflection,1,-4,s,6.718244190468484e-14,2.7943268412780007e-07,5.277571898682921e-08,True
1,5.0,8,default,reflection,1,-4,p,1.7454237638887902e-12,1.3219772511764609e-06,5.944350462035488e-07,True
1,5.0,8,default,reflection,1,-3,s,1.4825034379066698e-09,1.0611699690947541e-05,-3.9074207921509036e-05,True
1,5.0,8,default,reflection,1,-3,p,1.1285932339920397e-08,3.698439710757955e-05,-0.00010541591859995898,True
1,5.0,8,default,reflection,1,-2,s,6.7055640825654434e-12,-1.2045677700847897e-06,2.362775217695223e-06,True
1,5.0,8,default,reflection,1,-2,p,2.549649589625694e-11,-2.3639459774082065e-06,4.599552800310114e-06,True
1,5.0,8,default,reflection,1,-1,s,4.846912617087453e-07,0.0004193844343140717,0.0005638178065487064,True
1,5.0,8,default,reflection,1,-1,p,4.6598223880222005e-07,0.0004111990252534151,0.0005528377480922083,True
1,5.0,8,default,reflection,1,0,s,2.6162027757884115e-06,-0.001030525540628412,-0.0012563402914932173,True
1,5.0,8,default,reflection,1,0,p,1.6223453869948276e-29,-2.310700546109651e-15,-3.3217472816924858e-15,True
1,5.0,8,default,reflection,1,1,s,4.846912616953809e-07,0.00041938443430777206,0.0005638178065413183,True
1,5.0,8,default,reflection,1,1,p,4.6598223879477537e-07,-0.0004111990252527415,-0.0005528377480858499,True
1,5.0,8,default,reflection,1,2,s,6.705564074692444e-12,-1.2045677684630986e-06,2.362775216774403e-06,True
1,5.0,8,default,reflection,1,2,p,2.5496495863701963e-11,2.3639459765648493e-06,-4.5995527970314585e-06,True
1,5.0,8,default,reflection,1,3,s,1.4825034374771618e-09,1.0611699692105105e-05,-3.9074207915116946e-05,True
1,5.0,8,default,reflection,1,3,p,1.1285932339038393e-08,-3.6984397106223715e-05,0.00010541591859580847,True
1,5.0,8,default,reflection,1,4,s,6.718244251972235e-14,2.7943268576790277e-07,5.2775717316815457e-08,True
1,5.0,8,default,reflection,1,4,p,1.7454237756000547e-12,-1.3219772535876492e-06,-5.944350526986615e-07,True
1,5.0,8,default,reflection,1,5,s,3.6345157263403334e-11,1.4163189092452164e-06,6.935436184040965e-06,True
1,5.0,8,default,reflection,1,5,p,3.295292944594072e-10,-6.358748780360188e-06,-2.0343614655831412e-05,True
1,5.0,8,default,reflection,1,6,s,2.389755073124633e-16,2.045285858864196e-08,-6.608397586352511e-10,True
